code,link,video,pattern
0202-happy-number,happy-number/,ljz85bxOYJ0,Math & Geometry
0066-plus-one,plus-one/,jIaA8boiG1s,Math & Geometry
0009-palindrome-number,palindrome-number/,yubRKwixN-U,Math & Geometry
0263-ugly-number,ugly-number/,M0Zay1Qr9ws,Math & Geometry
1260-shift-2d-grid,shift-2d-grid/,nJYFh4Dl-as,Math & Geometry
0013-roman-to-integer,roman-to-integer/,3jdxYj3DD98,Math & Geometry
0012-integer-to-roman,integer-to-roman/,ohBNdSJyLh8,Math & Geometry
0050-powx-n,powx-n/,g9YQyYi4IQQ,Math & Geometry
0043-multiply-strings,multiply-strings/,1vZswirL8Y8,Math & Geometry
2013-detect-squares,detect-squares/,bahebearrDc,Math & Geometry
1041-robot-bounded-in-circle,robot-bounded-in-circle/,nKv2LnC_g6E,Math & Geometry
0006-zigzag-conversion,zigzag-conversion/,Q2Tw6gcVEwc,Math & Geometry
2028-find-missing-observations,find-missing-observations/,86yKkaNi3sU,Math & Geometry
0136-single-number,single-number/,qMPX1AOa83k,Bit Manipulation
1470-shuffle-the-array,shuffle-the-array/,IvIKD_EU8BY,Bit Manipulation
0989-add-to-array-form-of-integer,add-to-array-form-of-integer/,eBTZQt1TWfk,Bit Manipulation
0007-reverse-integer,reverse-integer/,HAgLH58IgJQ,Bit Manipulation
0067-add-binary,add-binary/,keuWJ47xG8g,Bit Manipulation
2667-create-hello-world-function,create-hello-world-function/,P9Ldx1eTlRc,JavaScript
2620-counter,counter/,yEGQQAG5V68,JavaScript
2665-counter-ii,counter-ii/,UXNXKGFZD08,JavaScript
2635-apply-transform-over-each-element-in-array,apply-transform-over-each-element-in-array/,7FhJHA5jlYk,JavaScript
2634-filter-elements-from-array,filter-elements-from-array/,w1o81gbEEJU,JavaScript
2626-array-reduce-transformation,array-reduce-transformation/,KmTbYfpGxdM,JavaScript
2629-function-composition,function-composition/,mIFw1H7Ljco,JavaScript
2666-allow-one-function-call,allow-one-function-call/,m_SWhM9iX3s,JavaScript
2623-memoize,memoize/,oFXyzJt9VeU,JavaScript
2632-curry,curry/,pi4kqMWQXxA,JavaScript
2621-sleep,sleep/,P0D9Z6H7O00,JavaScript
2637-promise-time-limit,promise-time-limit/,hfH57rdZhOk,JavaScript
2636-promise-pool,promise-pool/,DB8pAAg-9xw,JavaScript
2622-cache-with-time-limit,cache-with-time-limit/,w772gtNK0Gw,JavaScript
2627-debounce,debounce/,1sxSpnxNx5w,JavaScript
2676-throttle,throttle/,zyGZV_fIQWk,JavaScript
2628-json-deep-equal,json-deep-equal/,4JVZ-mVqJPg,JavaScript
2633-convert-object-to-json-string,convert-object-to-json-string/,f94fUbHU-FY,JavaScript
2675-array-of-objects-to-matrix,array-of-objects-to-matrix/,LJwgAMHGcI0,JavaScript
2700-differences-between-two-objects,differences-between-two-objects/,gH7oZs1WZfg,JavaScript
2677-chunk-array,chunk-array/,VUN-O3B9ceY,JavaScript
2625-flatten-deeply-nested-array,flatten-deeply-nested-array/,_DetLPKtFNk,JavaScript
2619-array-prototype-last,array-prototype-last/,3JdtfMBrUqc,JavaScript
2631-group-by,group-by/,zs9axOyYHRE,JavaScript
2618-check-if-object-instance-of-class,check-if-object-instance-of-class/,meIo-Q07Ba8,JavaScript
2693-call-function-with-custom-context,call-function-with-custom-context/,du_GH-Ooa8E,JavaScript
2694-event-emitter,event-emitter/,M69bjWFarU0,JavaScript
2695-array-wrapper,array-wrapper/,XoGjPdPTAVA,JavaScript
2648-generate-fibonacci-sequence,generate-fibonacci-sequence/,T643rQ70Jlk,JavaScript
2649-nested-array-generator,nested-array-generator/,yo-J1jQaZYU,JavaScript
